City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,robore,-18.3333,-59.75,280.83,95,100,2.81,BO,2023-06-13 02:36:39
283,flying fish cove,-10.4217,105.6791,299.97,83,75,6.69,CX,2023-06-13 02:35:11
284,ribeira brava,32.65,-17.0667,292.5,84,90,0.51,PT,2023-06-13 02:36:39
285,karakulino,56.012,53.7067,283.84,59,0,3.67,RU,2023-06-13 02:36:39
286,narasannapeta,18.4167,84.05,308.56,42,41,4.08,IN,2023-06-13 02:36:39
287,taroa,8.7058,171.2275,301.44,79,62,8.61,MH,2023-06-13 02:29:58
288,newport,51.5877,-2.9984,290.75,89,90,3.55,GB,2023-06-13 02:33:44
289,korla,41.7597,86.1469,306.22,17,95,2.86,CN,2023-06-13 02:33:49
290,yemetsk,63.4721,41.7941,289.33,57,100,4.14,RU,2023-06-13 02:36:39
291,caluula,11.9661,50.7569,304.92,64,100,0.52,SO,2023-06-13 02:35:29
292,port saint john's,-31.6229,29.5448,287.75,66,79,2.75,ZA,2023-06-13 02:34:03
293,hun,29.1268,15.9477,295.03,58,0,2.53,LY,2023-06-13 02:36:40
294,mizque,-17.941,-65.3402,286.88,89,94,1.91,BO,2023-06-13 02:36:40
295,forster,-32.1667,152.5167,294.41,50,100,2.78,AU,2023-06-13 02:35:26
296,heunghae,36.1125,129.3522,297.59,67,79,2.84,KR,2023-06-13 02:36:40
